video_id	upload_date	title
h99bTZTR_IU	20260511	Can You Outsmart the Model Makers?
Z9nwmtHUggY	20260505	Save 20-50% on agent tool call cost and latency
KCqsoXveqiI	20260504	Can an AI Out-Plan a Senior Engineer?
gX9WpYY61xA	20260427	Context Engineering vs Harness Engineering vs Software Engineering
C3ixK9iHGGM	20260420	Ship it Fridays: 2026-04-20
adpUOpW85ns	20260420	Building a Practical AI Assembly Line
Vqgyv3DWXvo	20260413	Ship it Fridays: 2026-04-13
9MFiATinGC0	20260413	Streaming Systems Masterclass
xVqrsWUEjUI	20260406	Ship it Fridays: 2026-04-06
0rMG-3iiilc	20260406	Build Faster by Coding Slower
8wQBvT6L8Xk	20260404	Planning is dead: Recursive order-n planning
fX-IpedWdlI	20260330	Ship it Fridays: 2026-03-30
z5inaSXkiTU	20260330	The Right Way to Give Your AI New Abilities
xeICY0RmEP8	20260323	Ship it Fridays: 2026-03-23
zU8GpxgYDvc	20260323	Prompt-Hackers are coming for your data
5pou9q1SrOw	20260316	Ship it Fridays: 2026-03-16
b5O6gb_Zuk8	20260316	Agents, Subagents, Skills and Commands
vhen4FhGON0	20260309	Ship it Fridays: 2026-03-09
Ql2gLHWuX7M	20260309	How to Scrub Sensitive Data Before it Reaches Your LLM
ikNILtAVJWk	20260302	Ship it Fridays: 2026-03-02
YcT7gjzj2TU	20260302	The No-Rework Workflow for AI Coding Assistants
1PEBFUOWaIs	20260223	Ship it Fridays: 2026-02-23
U5Gssat8IUw	20260223	How to Automate Complex Workflows with Claude: 🦄 #45
ZjgsISgulio	20260216	Ship it Fridays: 2026-02-16
Zx_GOhGik0o	20260216	Agentic Backpressure Deep Dive: 🦄 #44
LxrQR48oxxE	20260209	Ship it Fridays: 2026-02-09
qdfwmYTO0Aw	20260209	Prompting Is Becoming a Product Surface: 🦄 #43
PjoQDwDpOd8	20260202	Ship it Fridays: 2026-02-02
Xq8VxnGVStg	20260202	Claude Code Maxing - live coding: 🦄 #42
AmuT-4Yrl4o	20260126	Ship it Fridays: 2026-01-26
zpfXzk-3Yxw	20260126	Email is All You Need: 🦄 #41
yhA68HvwhrE	20260119	Ship it Fridays: 2026-01-19
qgAny0sEdIk	20260119	Applying 12-Factor Principles to Coding Agent SDKs:🦄 #40
mYH17BAh8VY	20260115	baml_langauge architecture
WdewiAiOchs	20260112	Ship it Fridays: 2026-01-12
wadVIkJnjQE	20260112	Understanding Latency:🦄 #39
OW-oIg6z-l8	20260105	Ship it Fridays: 2026-01-05
4YTl9w_bESE	20260105	Founding Boundary: 🦄 #38
EJiSrldXT08	20251229	Ship it Fridays: 2025-12-29
LEOA19Ss9lc	20251229	Founding HumanLayer: 🦄 #37
-sAUOahwur8	20251222	Ship it Fridays: 2025-12-22
IkSEXg6f4KY	20251222	Building a Prompt Optimizer:🦄 #36
ttIFKJ0NcDs	20251215	Ship it Fridays: 2025-12-15
OpM-G3WNH4g	20251215	Git Worktrees + Agents:🦄 #35
qoNEjSHaPwQ	20251208	Ship it Fridays: 2025-12-08
jzhVo0iAX_I	20251208	Multimodal Evals:🦄 #34
fF3GssyaTcc	20251202	No Vibes Allowed: 🦄 #33
WhtT7K5Pkv0	20251125	Building Animation Pipelines: 🦄 #32
qm3_pN3ChKI	20251117	Ship it Friday: 2025-11-17
F69FiqkPY3M	20251112	BAML - Building our Concrete Syntax Tree (CST) in rust
grGSFfyejA0	20251022	Agentic Rag: Building a coding agent (no frameworks) 🦄 ep #28
-eGZ0xqhM50	20251020	BAML ship it friday: 2025-10-20
gxckvkNg6KM	20251017	What is BAML?
zNZs19fIDHk	20251016	No vibes allowed (AKA live coding with Claude and Code Layer): 🦄 #27
bLx-UlRTiEw	20251016	Anthropic Post Mortem: 🦄  #26
sjnnJsl_Aq0	20251006	Ship it fridays!  Oct 6 2025
bak7-C--azc	20251004	🦄 Dynamic Schemas: #25
5Fy0hBzyduU	20251004	🦄 Evals for large scale classification: #24
RtXpXIY4sLk	20251004	🦄 Bash vs MCP for Coding Agents: ep #23
r9mepwj76MY	20250915	Fridays - 09-15
RX8D5oJrV9k	20250910	🦄 ai that works: Generative UIs and Structured Streaming
UCqD_KUyUJA	20250906	Voice Agents and Supervisor Threading - 🦄 #21
NJcph4j9sNg	20250828	Claude for non-code tasks: 🦄 #20
2ivXNdHJpxk	20250820	Interruptible agents: 🦄 #19
hYgeKulaifE	20250818	Ship it Friday: #85
OaUOHEHtlOU	20250816	Context Engineering lessons from Manus - 🦄 #18
SMUaCIOYRik	20250811	ship it friday: #84
q1IuF6_DGlM	20250806	Ship it Fridays: 2025-08-04
42AzKZRNhsk	20250806	Advanced context engineering for coding agents: 🦄#17
OawyQOrlubM	20250802	Evals: How to compare models 🦄#16
sqJrl09dDmI	20250727	🦄 ai that works: PDFs, Multimodality, Vision Models: Part 1
sCScFZB4Am8	20250723	🦄 ai that works: PDFs, Multimodality, Vision Models
CEGSDlCtI8U	20250716	Implementing Decaying-Resolution Memory: 🦄 #14
-doV02eh8XI	20250709	🦄 ai that works: Context Engineering and memory deep dive #13
HsElHU44xJ0	20250704	Getting Tone Just right with LLMs: 🦄 #12
Xece-W7Xf48	20250627	Using LLMs to go from 60+ min Youtube video to email / X posts: 🦄 #11
fRiqVdqeYNA	20250620	OpenAI Agent SDK vs BAML
niR896pQWOQ	20250620	Entity extraction from LLMs - extracting, deduping, enriching -🦄 Ep #10
PU2h0V-pANQ	20250613	Cracking the prompting interview: 🦄 Ep #9
NMhH5_ju3-I	20250610	Human as Tools: 🦄 Ep #8
P5wRLKF4bt8	20250528	Using MCP server with 10000+ tools: 🦄 Ep #7
gkekVC67iVs	20250521	LLMs to analyze Enron Emails: 🦄 Ep #6
-N6MajRfqYw	20250513	🦄: Evals, Evals Evals - Episode #5
yxJDyQ8v6P0	20250423	🦄 Building a 12 Factor Agent - EP #4
rQm-kX4ePt8	20250419	Web-scraping + Extraction AI demo
KJkvYdGEnAY	20250416	🦄 building a coding bot: ep#3
D-pcKduKdYM	20250408	🦄 reasoning models vs reasoning prompts: ep#2
6B7MzraQMZk	20250402	🦄 large scale classification: ep#1
aW_cD3vHhkI	20250401	BAML Tutorial - Using LLM Clients
JrnVPd6y3ZA	20250302	How fallbacks work in BAML (no audio)
S9jxdVLFDJU	20250207	BAML: What it is and how it helps
iBqTB_7Avt0	20250207	Building Production-Ready Text-to-SQL Pipelines with BAML ⚙️
qtS7D9lozFs	20250201	What can you build with BAML
ivBC3LWuI-Y	20241108	BAML Demos - 11-08-2024
XwT7MhT_BEY	20241021	Welcome to BAML: Build Resilient LLM Functions with Type-Safe Guarantees
RnyicgiSkis	20241004	Prompt Shepherds - October 4, 2024
xQRL7dxdFg4	20240919	milo demo
xCpQdHX5iM0	20240919	PDF Extraction Demo
ZQiEipwZxlw	20240918	BAML with circuits
MITj2ukpB-s	20240916	Setting up BAML with Python
