video_id	upload_date	title
luBkbzjo-TA	20260430	FULL Guide to Becoming a Principled Agentic Engineer (Build Anything with AI)
rFGlJ4oIlhw	20260423	Parallel Claude Code + Git Worktrees: This Setup Will Change How You Ship
XSmI7OYd7iM	20260420	Pi Coding Agent + Archon: Build ANY AI Coding Workflow (No Claude Code Bloat)
6woc6ii-zoE	20260416	I'm Building an AI Dark Factory That Ships Its Own Code (Public Experiment)
qMnClynCAmM	20260409	The Next Evolution of AI Coding Is Harnesses - Here's How to Build Them
7huCP6RkcY4	20260406	I Built Self-Evolving Claude Code Memory w/ Karpathy's LLM Knowledge Bases
1FiER-40zng	20260402	Full Guide - Build Your Own AI Second Brain with Claude Code
HAkSUBdsd6M	20260330	Coding Agent Reliability EXPLODES When They Argue (New Adversarial Dev Technique)
gmaHRwijOXs	20260326	Everything You Thought About Building AI Agents is Wrong
uegyRTOrXSU	20260323	You're Hardly Using What Claude Code Has to Offer, it's Insane
GX_EsbcXfw8	20260319	The Subagent Era Is Officially Here - Learn this Now
nxHKBq5ZU9U	20260316	I've Used Claude Code for 2,000+ Hours - Here's How I Build Anything With It
NMWgXvm--to	20260312	Stripe's Coding Agents Ship 1,300 PRs EVERY Week - Here's How They Do It
m3fqyXZ4k4I	20260302	Build BEAUTIFUL Diagrams with Claude Code (Full Workflow)
YeCHI1dmpZY	20260226	This One Command Makes Coding Agents Find All Their Mistakes (Use it Now)
goOZSXmrYQ4	20260223	My COMPLETE Agentic Coding Workflow to Build Anything (No Fluff or Overengineering)
60G93MXT4DI	20260219	Why the Best AI Coding Tools Abandoned RAG (And What They Use Instead)
uvs1Igr4u6g	20260216	How to Properly Use Claude Code Agent Teams (FULL LIVE BUILD)
XmweZ4fLkcI	20260212	I Built a Safer OpenClaw Alternative Using Claude Code
-1K_ZWDKpU0	20260209	Claude Code's Agent Teams Are Insane - Multiple AI Agents Coding Together in Real Time
MD8VQzvMVek	20260205	AI Agents Can Now Build Their Own UI in Real Time (Personalized to You)
-GyX21BL1Nw	20260202	Turn Claude Code into Your Full Engineering Team with Subagents
-iTNOaCmLcw	20260129	Claude Skills Aren't Just for Claude - Here's How to Build Them for ANY Agent
jYMhDEzNAN0	20260126	I Built My Second Brain with Claude Code + Obsidian + Skills (Here's How)
NIv9x7vLeJY	20260122	I Was Wrong About Ralph Wiggum
7aEQnTsI6zs	20260119	Your AI Coding Workflow NEEDS This New Agent Browser CLI
5xvP9O4msLM	20260115	Ralph Wiggum is the Final Evolution of Vibe Coding (Here's What Comes Next)
ttdWPDmBN_4	20260108	The 5 Techniques Separating Top Agentic Engineers Right Now
O8KI2paEBbM	20260105	The Kiro AI Coding Hackathon has Officially Started! Build ANYTHING, Win Big Prizes.
Be2OQ3LQZcQ	20251222	Build a RAG AI Agent with REAL-TIME Source Validation (CopilotKit + Pydantic AI)
13HP_bSeNjU	20251218	Are Agent Harnesses Bringing Back Vibe Coding?
upwbqZ67UBA	20251113	GitHub is the Future of AI Coding (Here's Why)
i5kwX7jeWL8	20251030	Learn 90% of Building AI Agents in 30 Minutes
injqJTy5Tus	20251023	Claude Code Web JUST Dropped but I Already Built Something BETTER (with Codex!)
V-0ExE6imTg	20251020	Should I Build My AI Agents with n8n or Python?
j2tI3YGVEz0	20251016	Claude Code's Real Purpose (It's Bigger Than You Think)
DMXyDpnzNpY	20251011	The OFFICIAL Archon Guide - 10x Your AI Coding Workflow
TxlVdB2gmGE	20251009	Docker Just Made Using MCP Servers 100x Easier (One Click Installs!)
TXVyxJdlzQs	20251004	Build Your First Voice AI Agent in 20 Minutes with LiveKit (Open Source)
P-0fm8ljl0I	20250929	Claude Sonnet 4.5 - The New Coding King? (Sonnet 4.5 vs. GPT 5 Codex)
mHBk8Z7Exag	20250925	The True Power of AI Coding - Build Your OWN Workflows (Full Guide)
BcvjGTxzK40	20250918	The Future of AI and SaaS is Agentic Experiences (Here's How to Build Them)
5gUR55_gbzc	20250911	This New Protocol Will Change AI Coding Forever (ACP)
iV5RZ_XKXBc	20250904	Your ULTIMATE n8n RAG AI Agent Template just got a Massive Upgrade
HJ9VvIG3Rps	20250828	I Built My Claude Code Subagents DREAM TEAM to Create Any AI Agent
yAFzPzpzJHU	20250818	Archon Beta Launch Livestream - What You Missed!
8pRc_s2VQIo	20250814	Introducing Archon - The Revolutionary Operating System for AI Coding
amEUIuBKwvg	20250807	A Complete Guide to Claude Code - Here are ALL the Best Strategies
Mk87sFlUG28	20250717	Context Engineering 101 - The Simple Strategy to 100x AI Coding
Egeuql3Lrzg	20250703	Context Engineering is the New Vibe Coding (Learn this Now)
p0FERNkpyHE	20250626	Introducing RAG 2.0: Agentic RAG + Knowledge Graphs (FREE Template)
8Mib-hb6Fcg	20250619	AI Code That Fixes Itself (An MCP You Can Try Now)
BdZ_GOaaz7M	20250605	All the BEST RAG Strategies in ONE MCP for AI Coding Assistants
BFWviieMyGw	20250522	AG-UI Just Released: The NEW WAVE of AI Agent Apps
MBaTuJfICP4	20250515	The 3 MUST Have MCP Servers for Any AI Coding (and How to Use Them)
TV8SyEuSMIA	20250512	Give Me 28 Minutes and I'll Completely Change the Way You Build AI Agents
ZoyPqXvnnZ8	20250505	I Built the Ultimate RAG MCP Server for AI Coding (Better than Context7)
DpPVEw4dd0w	20250424	If You’re Serious About Building AI Agents, This is Your Secret Weapon
G7gK8H6u7Rs	20250421	This MCP Server for AI Coding Assistants Will 10x Your Productivity
6zn8vVTeFE0	20250410	Build a ChatGPT Style App for Your n8n AI Agents in MINUTES
-Fpp4CBo14g	20250403	Build an ARMY of AI Agents on Autopilot with Archon, Here's How
soC4n-nKWF8	20250327	The MCP Integration EVERYONE is Sleeping On (MCP + Custom AI Agents)
v_6EXt6T83I	20250320	Claude MCP has Changed AI Forever - Here's What You NEED to Know
e7qvd2bOITc	20250317	OpenAI’s BRAND NEW Agents SDK (Crash Course)
iOZpiXLT7iY	20250310	Build AI Agents that EVOLVE Over Time
T2QWhXpnT5I	20250306	The ULTIMATE n8n RAG AI Agent Template - Local AI Edition
GjR5UsVGE60	20250303	Introducing Archon - an AI Agent that BUILDS AI Agents
mQt1hOjBH9o	20250227	I Built the ULTIMATE n8n RAG AI Agent Template
Ri3iyi3qFlI	20250220	Coding Subagents - The Next Evolution of AI IDEs
U6LbW2IFUQw	20250213	This is Hands Down the BEST Way to Build AI Agents
uWDocIoiaXE	20250203	You HAVE to Try Agentic RAG with DeepSeek R1 (Insane Results)
yRIEpNlacd0	20250120	INSANE New Strategy for Building AI Agent Apps
_R-ff4ZMLC8	20250116	The Future of RAG is Agentic - Learn this Strategy NOW
zf_D2Eafvk0	20250106	Pydantic AI + DeepSeek V3 - The BEST AI Agent Combo
aZn8PhqUZVU	20241219	bolt.diy: The Future of Open Source AI Coding - What's Next?
