video_id	upload_date	title
yBcmIoA-vGs	20260511	Engineers, DELETE the BASH Tool: Agentic Security For Pi Agent and Claude Code
EnXKysJNz_8	20260504	GPT-5.5 VERIFIED Opus 4.7: A Pi Coding Agent That REVIEWS Like YOU
8IDzBRRFnQU	20260427	MAXIMIZE Your Claude Code Subscription (Without Getting BANNED)
00Y-p62sk0s	20260420	My M5 Max, Gemma 4, MLX LOCAL Stack. (This KILLS MODEL PROVIDERS)
RvowJ_hmLps	20260413	The First UNSHIPPED Model: Claude MYTHOS (Senior Engineer Breakdown)
RairMJflUSA	20260406	My Pi Agent Teams. Claude Code Leak SIGNAL. Harness Engineering
M30gp1315Y4	20260330	One Agent Is NOT ENOUGH: Agentic Coding BEYOND Claude Code
TqjmTZRL31E	20260323	Pi CEO Agents. Claude 1M Context. Multi-Agent Teams.
_vpNQ6IwP9w	20260316	The Library Meta-Skill: How I Distribute PRIVATE Skills, Agents and Prompts
LOazLNQnB80	20260309	Mac Mini Agents: OpenClaw is a NIGHTMARE... Use these SKILLS instead
V5A1IU8VVp4	20260302	I Studied Stripe's AI Agents... Vibe Coding Is Already Dead
f8cfH5XX-XU	20260223	The Pi Coding Agent: The ONLY REAL Claude Code COMPETITOR
efctPj6bjCY	20260216	My 4-Layer Claude Code Playwright CLI Skill  (Agentic Browser Automation)
RpUTF_U4kiw	20260209	Claude Code Multi-Agent Orchestration with Opus 4.6, Tmux and Agent Sandboxes
4_2j5wgt_ds	20260202	Claude Code Task System: ANTI-HYPE Agentic Coding (Advanced)
3_mwKbYvbUg	20260126	One Prompt Every AGENTIC Codebase Should Have (For Engineering Teams)
u5GkG71PkR0	20260119	The Claude Code Feature Senior Engineers KEEP MISSING
-WBHNFAB0OE	20260112	AGENT THREADS. How to SHIP like Boris Cherny. Ralph Wiggum in Claude Code.
VqDs46A8pqE	20260105	Claude Code is Amazing... Until It DELETES Production
fop_yxV-mPo	20251229	The Codebase Singularity: “My agents run my codebase better than I can”
u-SQ0Jsv4mI	20251222	TOP 2% Engineering: /PLAN 2026
zTcDwqopvKE	20251215	Agent Experts: Finally, Agents That ACTUALLY Learn
X2ciJedw2vU	20251208	RAW Agentic Coding: ZERO to Agent SKILL
3kgx0YxCriM	20251201	Claude Opus 4.5: The Engineers' Model
V5IhsHEHXOg	20251124	I gave Gemini 3 Pro its own computer... it's official, Claude Code has COMPETITION
1ECn5zrVUB4	20251117	E2B Agent Sandboxes: The Space to Place your Claude Agents
OIKTsVjTVJE	20251110	Why are top engineers DITCHING MCP Servers? (3 PROVEN Solutions)
p0mrXfwAbCg	20251103	The One Agent to RULE them ALL - Advanced Agentic Coding
kFpLzCVLA20	20251027	I finally CRACKED Claude Agent Skills (Breakdown For Engineers)
aA9KP7QIQvM	20251020	Claude HAIKU 4.5 is LIGHT SPEED Agentic Coding… BUT can it BEAT Sonnet?
Ur3TJm0BckQ	20251013	BIG 3 SUPER AGENT: Gemini 2.5 Computer Use, OpenAI Realtime API, Claude Code
nGhsgdQplHw	20251006	Claude Code 2.0 Agentic Coding: No, other agents aren't even close.
d3rtOcwnqz0	20250929	My TOP 5 Agentic Engineering Bets: Anthropic, Custom Agents, & Multi-Agent UI (Not for beginners)
6wR6xblSays	20250922	Agentic Coding ENDGAME: Build your Claude Code SDK Custom Agents
luqKnexhpFs	20250915	Agentic Prompt Engineering with Claude Code (For you, your team, and your AGENTS)
Kf5-HWJPTIE	20250908	Elite Context Engineering with Claude Code
